name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
John Hastings,Australia,37,6.39795,bowling-allrounder,right-handed-bat,right-arm-fast-medium,2,46,11.5,124.32,0,3,1,-,-,-,-,-,-,-,7,7.97,35.29,26.57,3,6.83,22.0,19.33,kolkata-knight-riders,2016,13000000
Jason Holder,West Indies,31,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,9,385,15.4,120.69,0,23,21,5,247,13.0,124.12,0,13,17,51,8.17,26.86,19.73,49,8.57,24.02,16.82,kolkata-knight-riders,2016,7000000
Colin Munro,New Zealand,35,,batting-allrounder,left-handed-bat,right-arm-medium,7,1724,31.35,156.44,11,132,107,0,177,14.75,125.53,0,19,8,4,9.46,46.5,29.5,0,7.5,0.0,0.0,kolkata-knight-riders,2016,3000000
Rajagopal Sathish,India,41,,batsman,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,8,270,15.88,116.88,0,22,6,-,-,-,-,3,10.01,77.33,46.33,kolkata-knight-riders,2016,2000000
Jos Buttler,England,32,,wk-batsman,right-handed-bat,,20,2602,34.69,144.24,19,233,108,10,2831,39.87,149.71,15,277,135,-,-,-,-,-,-,-,-,mumbai-indians,2016,38000000
Nathu Singh,India,27,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3.75,15.0,24.0,mumbai-indians,2016,32000000
Tim Southee,New Zealand,33,,bowler,right-handed-bat,right-arm-fast-medium,18,261,10.88,139.57,0,18,16,7,120,9.23,112.15,0,8,4,134,8.16,23.46,17.25,45,8.53,36.96,26.0,mumbai-indians,2016,25000000
Krunal Pandya,India,31,,batting-allrounder,left-handed-bat,left-arm-orthodox,5,124,24.8,130.53,0,8,6,25,1326,22.1,136.7,1,121,50,15,8.11,36.93,27.33,61,7.31,33.41,27.41,mumbai-indians,2016,20000000
Jitesh Sharma,India,29,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,2,234,29.25,163.64,0,22,12,-,-,-,-,-,-,-,-,mumbai-indians,2016,1000000
Shane Watson,Australia,41,6.004230000000001,batting-allrounder,right-handed-bat,right-arm-fast-medium,6,1462,29.24,145.33,10,115,83,16,3874,30.99,137.91,21,376,190,48,7.66,24.73,19.38,92,7.93,29.15,22.05,royal-challengers-bangalore,2016,95000000
Stuart Binny,India,38,,batting-allrounder,right-handed-bat,right-arm-medium,0,35,17.5,120.69,0,2,1,22,880,19.13,128.84,0,66,35,1,10.8,54.0,30.0,22,7.66,34.45,27.0,royal-challengers-bangalore,2016,20000000
Kane Richardson,Australia,31,,bowler,right-handed-bat,right-arm-fast-medium,3,17,4.25,100.0,0,0,0,1,36,12.0,92.31,0,2,1,44,8.33,23.3,16.77,19,8.45,24.84,17.63,royal-challengers-bangalore,2016,20000000
Samuel Badree,West Indies,41,,bowler,right-handed-bat,right-arm-legbreak,10,43,7.17,66.15,0,1,1,0,13,2.6,56.52,0,0,0,56,6.18,21.07,20.46,11,7.42,29.0,23.45,royal-challengers-bangalore,2016,5000000
Travis Head,Australia,28,,batting-allrounder,left-handed-bat,right-arm-offbreak,3,345,26.54,133.2,0,22,11,3,205,29.29,138.51,1,12,8,1,9.33,56.0,36.0,2,10.12,40.5,24.0,royal-challengers-bangalore,2016,5000000
Praveen Dubey,India,29,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,1,7,0.0,53.85,0,0,0,-,-,-,-,0,9.0,0.0,0.0,royal-challengers-bangalore,2016,3500000
Vikramjeet Singh Malik,India,39,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,1,7,7.0,100.0,0,1,0,-,-,-,-,6,7.64,43.5,34.17,royal-challengers-bangalore,2016,2000000
Iqbal Abdulla,India,32,,bowler,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,11,88,44.0,104.76,0,9,1,-,-,-,-,40,7.23,27.73,23.0,royal-challengers-bangalore,2016,1000000
Sachin Baby,India,33,,batsman,left-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,2,144,16.0,122.03,0,11,5,-,-,-,-,2,4.8,4.0,5.0,royal-challengers-bangalore,2016,1000000
Yuvraj Singh,India,40,,batting-allrounder,left-handed-bat,left-arm-orthodox,9,1177,28.02,136.38,8,77,74,15,2750,24.77,129.72,13,217,149,28,7.06,17.82,15.14,36,7.44,29.92,24.14,sunrisers-hyderabad,2016,70000000
Ashish Nehra,India,43,,bowler,right-handed-bat,left-arm-fast-medium,0,28,5.6,71.79,0,1,2,15,41,5.86,66.13,0,3,1,34,7.73,22.29,17.29,106,7.85,23.54,18.0,sunrisers-hyderabad,2016,55000000
Deepak Hooda,India,27,,batting-allrounder,right-handed-bat,right-arm-offbreak,3,302,33.56,150.25,0,27,13,14,1236,20.26,132.05,7,77,56,5,4.58,9.0,11.8,10,8.61,50.1,34.9,sunrisers-hyderabad,2016,42000000
Mustafizur Rahman,Bangladesh,27,,bowler,left-handed-bat,left-arm-fast-medium,9,68,4.53,76.4,0,3,4,7,12,12.0,54.55,0,0,1,97,7.64,21.95,17.24,46,7.8,29.67,22.83,sunrisers-hyderabad,2016,14000000
Aditya Tare,India,35,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,4,339,14.12,124.18,1,40,11,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2016,12000000
Barinder Sran,India,29,,bowler,left-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,8,10,10.0,71.43,0,0,0,6,5.12,6.83,8.0,18,9.4,42.06,26.83,sunrisers-hyderabad,2016,12000000
Ben Cutting,Australia,35,6.29952,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,40,10.0,148.15,0,2,3,6,238,21.64,168.79,0,15,19,3,10.24,71.67,42.0,10,9.16,42.9,28.1,sunrisers-hyderabad,2016,5000000
Vijay Shankar,India,31,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,12,731,23.58,122.04,3,46,28,5,9.1,38.2,25.2,9,8.67,38.22,26.44,sunrisers-hyderabad,2016,3500000
Abhimanyu Mithun,India,33,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,3,34,6.8,130.77,0,4,1,-,-,-,-,7,9.83,67.43,41.14,sunrisers-hyderabad,2016,3000000
Tirumalsetti Suman,India,38,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,8,676,21.12,117.57,2,55,26,-,-,-,-,6,7.88,32.83,25.0,sunrisers-hyderabad,2016,1000000
Kagiso Rabada,South Africa,27,,bowler,left-handed-bat,right-arm-fast,14,147,21.0,109.7,0,12,5,11,186,12.4,105.08,0,16,6,56,8.51,29.36,20.7,99,8.26,19.86,14.42,delhi-capitals,2017,50000000
Pat Cummins,Australia,29,6.29952,bowler,right-handed-bat,right-arm-fast,11,116,9.67,123.4,0,6,6,11,379,18.95,152.21,3,24,26,55,7.38,24.55,19.96,45,8.54,30.16,21.18,delhi-capitals,2017,45000000
Angelo Mathews,Sri Lanka,35,,batting-allrounder,right-handed-bat,right-arm-fast-medium,18,1148,25.51,117.74,5,73,38,11,724,23.35,125.91,1,44,29,38,7.0,31.58,27.08,27,8.18,39.96,29.3,delhi-capitals,2017,20000000
Corey Anderson,New Zealand,31,,batting-allrounder,left-handed-bat,left-arm-fast-medium,4,485,23.1,138.18,2,30,26,7,538,24.45,127.19,3,40,31,14,8.25,35.36,25.71,11,10.46,47.09,27.0,delhi-capitals,2017,10000000
Aditya Tare,India,35,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,4,339,14.12,124.18,1,40,11,-,-,-,-,-,-,-,-,delhi-capitals,2017,2500000
Navdeep Saini,India,30,,bowler,right-handed-bat,right-arm-fast,3,12,0.0,109.09,0,2,0,3,33,8.25,89.19,0,3,0,13,7.16,18.08,15.15,20,8.68,45.0,31.1,delhi-capitals,2017,1000000
Shashank Singh,India,31,,batsman,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,1,69,17.25,146.81,0,5,4,-,-,-,-,0,10.0,0.0,0.0,delhi-capitals,2017,1000000
T Natarajan,India,31,,bowler,left-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,4,3,0.0,60.0,0,0,0,7,7.62,17.43,13.71,38,8.65,28.79,19.97,punjab-kings,2017,30000000
Varun Aaron,India,33,,bowler,right-handed-bat,right-arm-fast,-,-,-,-,-,-,-,8,50,10.0,69.44,0,2,2,-,-,-,-,44,8.94,33.66,22.59,punjab-kings,2017,28000000
Eoin Morgan,England,36,5.9,batsman,left-handed-bat,right-arm-medium,20,2458,28.58,136.18,14,186,120,13,1405,22.66,122.6,5,112,64,-,-,-,-,-,-,-,-,punjab-kings,2017,20000000
Matt Henry,New Zealand,30,,bowler,right-handed-bat,right-arm-fast-medium,1,10,10.0,200.0,0,2,0,-,-,-,-,-,-,-,7,8.68,27.29,18.86,1,14.2,71.0,30.0,punjab-kings,2017,5000000
Martin Guptill,New Zealand,36,,batsman,right-handed-bat,right-arm-offbreak,7,3531,31.81,135.7,20,310,173,1,270,22.5,137.76,1,24,15,0,11.0,0.0,0.0,-,-,-,-,punjab-kings,2017,5000000
Daren Sammy,West Indies,38,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,punjab-kings,2017,3000000
Rahul Tewatia,India,29,,batting-allrounder,left-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,17,738,25.45,130.39,1,57,35,-,-,-,-,32,7.92,34.25,25.94,punjab-kings,2017,2500000
Rinku Singh,India,25,,batsman,left-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,3,251,20.92,130.05,0,23,9,-,-,-,-,-,-,-,-,punjab-kings,2017,1000000
Trent Boult,New Zealand,33,,bowler,right-handed-bat,left-arm-fast-medium,7,32,6.4,76.19,0,2,0,13,53,10.6,110.42,0,2,2,74,7.86,22.26,16.99,92,8.3,26.9,19.45,kolkata-knight-riders,2017,50000000
Chris Woakes,England,33,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,125,25.0,145.35,0,7,7,6,78,13.0,101.3,0,7,2,27,7.86,25.19,19.22,30,8.97,21.93,14.67,kolkata-knight-riders,2017,42000000
Nathan Coulter-Nile,Australia,35,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,kolkata-knight-riders,2017,35000000
Rishi Dhawan,India,32,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,1,0.0,50.0,0,0,0,12,190,21.11,108.57,0,17,6,1,10.5,42.0,24.0,24,7.93,33.17,25.08,kolkata-knight-riders,2017,5500000
Darren Bravo,West Indies,33,,batsman,left-handed-bat,right-arm-fast-medium,3,405,21.32,106.86,0,32,14,1,6,0.0,120.0,0,1,0,-,-,-,-,-,-,-,-,kolkata-knight-riders,2017,5000000
Rovman Powell,West Indies,29,,batsman,right-handed-bat,right-arm-fast-medium,8,890,23.42,134.64,4,53,55,2,250,25.0,149.7,1,10,22,4,8.8,33.0,22.5,0,17.0,0.0,0.0,kolkata-knight-riders,2017,3000000
Ishank Jaggi,India,33,,batsman,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,2,76,15.2,78.35,0,6,0,-,-,-,-,-,-,-,-,kolkata-knight-riders,2017,1000000
Karn Sharma,India,35,,bowler,left-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,14,317,15.1,115.69,0,18,14,1,7.0,28.0,24.0,59,7.91,27.29,20.71,mumbai-indians,2017,32000000
Krishnappa Gowtham,India,34,,bowling-allrounder,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,6,186,13.29,167.57,0,13,12,-,-,-,-,18,8.26,36.72,26.67,mumbai-indians,2017,20000000
Mitchell Johnson,Australia,41,6.20109,bowler,left-handed-bat,left-arm-fast,7,109,10.9,114.74,0,8,3,17,167,12.85,101.83,0,10,7,38,7.29,20.97,17.26,61,8.29,27.9,20.2,mumbai-indians,2017,20000000
Saurabh Tiwary,India,32,,batsman,left-handed-bat,,-,-,-,-,-,-,-,22,1494,28.73,120.1,8,111,50,-,-,-,-,-,-,-,-,mumbai-indians,2017,3000000
Kulwant Khejroliya,India,30,,bowler,left-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,9.66,51.0,31.67,mumbai-indians,2017,1000000
Tymal Mills,England,30,,bowler,right-handed-bat,left-arm-fast-medium,2,8,2.67,72.73,0,0,1,1,8,2.0,57.14,0,0,1,12,8.37,31.17,22.33,11,9.85,31.18,19.0,royal-challengers-bangalore,2017,120000000
Aniket Choudhary,India,32,,bowler,right-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,2,25,25.0,125.0,0,1,1,-,-,-,-,5,8.55,28.8,20.2,royal-challengers-bangalore,2017,20000000
Pawan Negi,India,29,,bowling-allrounder,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,royal-challengers-bangalore,2017,10000000
Billy Stanlake,Australia,28,,bowler,left-handed-bat,right-arm-fast,1,9,9.0,75.0,0,0,1,1,5,0.0,250.0,0,1,0,27,7.77,20.15,15.56,7,8.33,28.57,20.57,royal-challengers-bangalore,2017,3000000
Praveen Dubey,India,29,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,1,7,0.0,53.85,0,0,0,-,-,-,-,0,9.0,0.0,0.0,royal-challengers-bangalore,2017,1000000
Mohammed Siraj,India,28,,bowler,right-handed-bat,right-arm-fast-medium,0,5,5.0,71.43,0,1,0,13,96,13.71,88.07,0,10,2,11,9.19,26.73,17.45,59,8.78,33.07,22.61,sunrisers-hyderabad,2017,26000000
Eklavya Dwivedi,India,34,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,0,24,12.0,171.43,0,2,2,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2017,7500000
Chris Jordan,England,34,6.2,bowler,right-handed-bat,right-arm-fast-medium,22,422,15.07,136.57,0,30,21,3,75,9.38,115.38,0,3,3,95,8.72,27.05,18.62,27,9.32,30.85,19.85,sunrisers-hyderabad,2017,5000000
Mohammad Nabi,Afghanistan,37,,bowling-allrounder,right-handed-bat,right-arm-offbreak,16,1664,21.06,139.71,4,111,89,2,180,15.0,151.26,0,16,9,84,7.31,28.1,23.05,13,7.14,31.38,26.38,sunrisers-hyderabad,2017,3000000
Ben Laughlin,Australia,40,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,2,5,2.5,38.46,0,0,0,2,9.97,59.0,35.5,10,10.13,28.2,16.7,sunrisers-hyderabad,2017,3000000
Pravin Tambe,India,51,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,4,18,9.0,46.15,0,1,0,-,-,-,-,28,7.75,30.46,23.57,sunrisers-hyderabad,2017,1000000
Kedar Jadhav,India,37,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,122,20.33,123.23,1,12,3,26,1196,22.15,123.17,4,101,40,-,-,-,-,-,-,-,-,chennai-super-kings,2018,78000000
Dwayne Bravo,West Indies,39,,batting-allrounder,right-handed-bat,right-arm-fast-medium,17,1255,22.02,115.14,4,73,55,44,1560,22.61,129.57,5,121,66,78,8.12,26.1,19.29,183,8.39,23.83,17.04,chennai-super-kings,2018,64000000
Karn Sharma,India,35,,bowler,left-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,14,317,15.1,115.69,0,18,14,1,7.0,28.0,24.0,59,7.91,27.29,20.71,chennai-super-kings,2018,50000000
Shane Watson,Australia,41,6.004230000000001,batting-allrounder,right-handed-bat,right-arm-fast-medium,6,1462,29.24,145.33,10,115,83,16,3874,30.99,137.91,21,376,190,48,7.66,24.73,19.38,92,7.93,29.15,22.05,chennai-super-kings,2018,40000000
Shardul Thakur,India,31,,bowler,right-handed-bat,right-arm-fast-medium,3,69,23.0,181.58,0,5,4,8,173,10.81,129.1,0,12,8,33,9.15,23.39,15.33,82,9.06,28.54,18.9,chennai-super-kings,2018,26000000
Ambati Rayudu,India,37,,batsman,right-handed-bat,right-arm-offbreak,1,42,10.5,84.0,0,5,0,30,4190,28.9,127.12,22,349,164,-,-,-,-,-,-,-,-,chennai-super-kings,2018,22000000
Murali Vijay,India,38,,batsman,right-handed-bat,right-arm-offbreak,0,169,18.78,109.74,0,13,8,5,2619,25.93,121.87,13,247,91,0,4.5,0.0,0.0,0,8.17,0.0,0.0,chennai-super-kings,2018,20000000
Harbhajan Singh,India,42,,bowler,right-handed-bat,right-arm-offbreak,5,108,13.5,124.14,0,11,4,35,833,15.15,137.91,1,79,42,25,6.21,25.32,24.48,150,7.08,26.87,22.77,chennai-super-kings,2018,20000000
Faf du Plessis,South Africa,38,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,10,3403,34.37,130.58,25,314,109,0,2.25,0.0,0.0,0,16.0,0.0,0.0,chennai-super-kings,2018,16000000
Mark Wood,England,32,,bowler,right-handed-bat,right-arm-fast,3,11,0.0,84.62,0,1,0,0,1,1.0,33.33,0,0,0,44,8.34,18.48,13.3,0,12.25,0.0,0.0,chennai-super-kings,2018,15000000
Sam Billings,England,31,,wk-batsman,right-handed-bat,,5,478,17.07,129.89,2,41,16,1,503,19.35,129.64,3,40,20,-,-,-,-,-,-,-,-,chennai-super-kings,2018,10000000
Imran Tahir,South Africa,43,,bowler,right-handed-bat,right-arm-legbreak,3,19,19.0,105.56,0,1,1,5,33,8.25,89.19,0,5,0,63,6.73,15.05,13.41,82,7.76,20.77,16.05,chennai-super-kings,2018,10000000
Deepak Chahar,India,30,,bowler,right-handed-bat,right-arm-medium,5,53,53.0,203.85,0,4,4,5,79,11.29,138.6,0,2,6,29,8.17,24.24,17.79,59,7.8,29.19,22.44,chennai-super-kings,2018,8000000
Mitchell Santner,New Zealand,30,,bowling-allrounder,left-handed-bat,left-arm-orthodox,24,491,16.93,128.2,1,36,17,3,54,18.0,108.0,0,3,3,89,7.12,21.94,18.49,10,6.92,27.7,24.0,chennai-super-kings,2018,5000000
Lungi Ngidi,South Africa,26,,bowler,right-handed-bat,right-arm-fast,3,16,3.2,53.33,0,1,0,-,-,-,-,-,-,-,58,8.92,18.31,12.31,25,8.3,17.92,12.96,chennai-super-kings,2018,5000000
KM Asif,India,29,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,11.39,23.25,12.25,chennai-super-kings,2018,4000000
N Jagadeesan,India,26,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,1,73,24.33,110.61,0,7,1,-,-,-,-,-,-,-,-,chennai-super-kings,2018,2000000
Dhruv Shorey,India,30,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,0,13,6.5,76.47,0,0,1,-,-,-,-,-,-,-,-,chennai-super-kings,2018,2000000
Glenn Maxwell,Australia,34,,batting-allrounder,right-handed-bat,right-arm-offbreak,14,2159,28.41,150.98,10,176,106,15,2319,25.48,153.88,13,197,127,39,7.46,27.59,22.18,28,8.24,38.57,28.07,delhi-capitals,2018,90000000
Kagiso Rabada,South Africa,27,,bowler,left-handed-bat,right-arm-fast,14,147,21.0,109.7,0,12,5,11,186,12.4,105.08,0,16,6,56,8.51,29.36,20.7,99,8.26,19.86,14.42,delhi-capitals,2018,42000000
Amit Mishra,India,40,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,25,362,11.68,93.06,0,29,5,16,6.32,15.0,14.25,166,7.35,23.95,19.55,delhi-capitals,2018,40000000
Shahbaz Nadeem,India,33,,bowler,right-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,8,39,2.79,44.83,0,2,0,-,-,-,-,48,7.56,37.17,29.48,delhi-capitals,2018,32000000
Vijay Shankar,India,31,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,12,731,23.58,122.04,3,46,28,5,9.1,38.2,25.2,9,8.67,38.22,26.44,delhi-capitals,2018,32000000
Rahul Tewatia,India,29,,batting-allrounder,left-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,17,738,25.45,130.39,1,57,35,-,-,-,-,32,7.92,34.25,25.94,delhi-capitals,2018,30000000
Mohammed Shami,India,32,,bowler,right-handed-bat,right-arm-fast-medium,2,0,0.0,0.0,0,0,0,12,69,6.27,94.52,0,5,2,24,8.94,29.62,19.88,99,8.52,29.19,20.57,delhi-capitals,2018,30000000
Gautam Gambhir,India,41,,batsman,left-handed-bat,right-arm-legbreak,2,932,27.41,119.03,7,109,10,16,4218,31.01,123.91,36,491,59,-,-,-,-,-,-,-,-,delhi-capitals,2018,28000000
Trent Boult,New Zealand,33,,bowler,right-handed-bat,left-arm-fast-medium,7,32,6.4,76.19,0,2,0,13,53,10.6,110.42,0,2,2,74,7.86,22.26,16.99,92,8.3,26.9,19.45,delhi-capitals,2018,22000000
Colin Munro,New Zealand,35,,batting-allrounder,left-handed-bat,right-arm-medium,7,1724,31.35,156.44,11,132,107,0,177,14.75,125.53,0,19,8,4,9.46,46.5,29.5,0,7.5,0.0,0.0,delhi-capitals,2018,19000000
Daniel Christian,Australia,39,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,118,14.75,126.88,0,7,6,9,460,14.38,115.58,0,23,19,13,8.56,30.62,21.46,38,8.1,31.37,23.24,delhi-capitals,2018,15000000
Jason Roy,England,32,,batsman,right-handed-bat,,0,1522,23.78,137.61,8,153,69,2,329,29.91,129.02,2,39,9,-,-,-,-,-,-,-,-,delhi-capitals,2018,15000000
Naman Ojha,India,39,,wk-batsman,right-handed-bat,,0,12,6.0,44.44,0,2,0,19,1554,20.72,118.35,6,121,79,-,-,-,-,-,-,-,-,delhi-capitals,2018,14000000
Prithvi Shaw,India,23,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,1588,25.21,147.45,12,192,55,-,-,-,-,-,-,-,-,delhi-capitals,2018,12000000
Gurkeerat Singh Mann,India,32,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,8,511,21.29,121.09,2,55,11,-,-,-,-,5,7.46,19.4,15.6,delhi-capitals,2018,7500000
Avesh Khan,India,25,,bowler,right-handed-bat,right-arm-fast-medium,2,10,10.0,142.86,0,0,1,4,31,15.5,163.16,0,2,3,13,9.11,32.46,21.38,47,8.4,24.79,17.7,delhi-capitals,2018,7000000
Abhishek Sharma,India,22,,bowling-allrounder,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,6,667,23.82,135.29,2,64,25,-,-,-,-,7,8.23,30.57,22.29,delhi-capitals,2018,5500000
Jayant Yadav,India,32,,bowler,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,1,40,10.0,111.11,0,2,1,-,-,-,-,8,6.87,52.38,45.75,delhi-capitals,2018,5000000
Harshal Patel,India,32,,bowler,right-handed-bat,right-arm-fast-medium,4,77,12.83,135.09,0,9,3,14,230,10.45,129.21,0,15,13,27,9.13,27.0,17.74,97,8.4,22.87,16.34,delhi-capitals,2018,2000000
Sandeep Lamichhane,Nepal,22,,bowler,right-handed-bat,right-arm-legbreak,8,48,6.86,84.21,0,1,1,0,0,0.0,0.0,0,0,0,78,6.26,12.35,11.83,13,8.34,22.46,16.15,delhi-capitals,2018,2000000
Lokesh Rahul,India,30,,wk-batsman,right-handed-bat,,8,2265,37.75,139.13,22,191,99,19,3889,48.01,136.22,31,327,164,-,-,-,-,-,-,-,-,punjab-kings,2018,110000000
Ravichandran Ashwin,India,36,,bowling-allrounder,right-handed-bat,right-arm-offbreak,12,184,26.29,115.0,0,17,4,27,647,13.48,117.64,1,51,21,72,6.91,23.22,20.17,157,6.98,28.88,24.84,punjab-kings,2018,76000000
Andrew Tye,Australia,35,,bowler,right-handed-bat,right-arm-fast-medium,7,83,10.38,109.21,0,5,4,4,91,10.11,119.74,0,6,5,47,8.76,21.21,14.53,42,8.59,23.31,16.29,punjab-kings,2018,72000000
Aaron Finch,Australia,36,5.70894,batsman,right-handed-bat,left-arm-orthodox,12,3120,34.29,142.53,19,309,125,6,2091,24.89,128.2,15,214,78,0,13.5,0.0,0.0,1,9.35,67.0,43.0,punjab-kings,2018,62000000
Marcus Stoinis,Australia,33,,batting-allrounder,right-handed-bat,right-arm-medium,15,803,29.74,147.34,2,69,35,18,1070,26.1,137.36,4,83,48,18,8.61,34.11,23.78,34,9.61,30.82,19.24,punjab-kings,2018,62000000
Karun Nair,India,30,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,5,1496,23.75,127.75,10,161,39,-,-,-,-,-,-,-,-,punjab-kings,2018,56000000
Ankit Rajpoot,India,28,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,2,26,5.2,63.41,0,2,1,-,-,-,-,24,9.23,33.92,22.04,punjab-kings,2018,30000000
David Miller,South Africa,33,,batsman,left-handed-bat,right-arm-offbreak,34,2149,34.66,144.33,6,141,103,35,2455,36.64,137.69,12,169,113,-,-,-,-,-,-,-,-,punjab-kings,2018,30000000
Mohit Sharma,India,34,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,12,122,8.13,104.27,0,8,4,6,8.04,30.83,23.0,92,8.45,26.85,19.07,punjab-kings,2018,24000000
Barinder Sran,India,29,,bowler,left-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,8,10,10.0,71.43,0,0,0,6,5.12,6.83,8.0,18,9.4,42.06,26.83,punjab-kings,2018,22000000
Yuvraj Singh,India,40,,batting-allrounder,left-handed-bat,left-arm-orthodox,9,1177,28.02,136.38,8,77,74,15,2750,24.77,129.72,13,217,149,28,7.06,17.82,15.14,36,7.44,29.92,24.14,punjab-kings,2018,20000000
Chris Gayle,West Indies,43,,batsman,left-handed-bat,right-arm-offbreak,7,1899,27.93,137.51,14,158,124,16,4965,39.72,148.96,31,405,357,20,6.93,22.0,19.05,18,7.9,40.5,30.78,punjab-kings,2018,20000000
Akshdeep Nath,India,29,,batting-allrounder,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,0,90,9.0,91.84,0,7,2,-,-,-,-,-,-,-,-,punjab-kings,2018,10000000
Manoj Tiwary,India,37,,batsman,right-handed-bat,right-arm-legbreak,0,15,15.0,88.24,0,0,0,26,1695,28.73,116.98,7,156,40,-,-,-,-,1,11.86,83.0,42.0,punjab-kings,2018,10000000
Mayank Agarwal,India,31,,batsman,right-handed-bat,,-,-,-,-,-,-,-,4,2331,22.63,134.51,12,227,91,-,-,-,-,-,-,-,-,punjab-kings,2018,10000000
Pardeep Sahu,India,37,,batting-allrounder,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,1,19,19.0,146.15,0,1,1,-,-,-,-,3,8.34,48.67,35.0,punjab-kings,2018,2000000
Chris Lynn,Australia,32,,batsman,right-handed-bat,left-arm-orthodox,1,291,19.4,131.67,0,28,14,3,1329,34.08,140.63,10,132,66,-,-,-,-,-,-,-,-,kolkata-knight-riders,2018,96000000
