player,role,team,year,price
Christopher Morris,All-Rounder,chennai-super-kings,2013,36250000
Dirk Nannes,Bowler,chennai-super-kings,2013,34800000
Ben Laughlin,Bowler,chennai-super-kings,2013,1160000
Akila Dananjaya,All-Rounder,chennai-super-kings,2013,1160000
Jason Holder,Bowler,chennai-super-kings,2013,1160000
Johan Botha,All-Rounder,delhi-capitals,2013,26100000
Jesse Ryder,All-Rounder,delhi-capitals,2013,15080000
Jeevan Mendis,All-Rounder,delhi-capitals,2013,2900000
Manpreet Gony,Bowler,punjab-kings,2013,29000000
Luke Pomersbach,Batsman,punjab-kings,2013,17400000
Sachithra Senanayaka,All-Rounder,kolkata-knight-riders,2013,36250000
Ryan McLaren,Bowler,kolkata-knight-riders,2013,2900000
Glenn Maxwell,All-Rounder,mumbai-indians,2013,58000000
Nathan Coulter-Nile,Bowler,mumbai-indians,2013,26100000
Ricky Ponting,Batsman,mumbai-indians,2013,23200000
Philip Hughes,Batsman,mumbai-indians,2013,5800000
Jacob Oram,All-Rounder,mumbai-indians,2013,2900000
James Faulkner,All-Rounder,rajasthan-royals,2013,23200000
Fidel Edwards,Bowler,rajasthan-royals,2013,12180000
Kusal Janith Perera,Wicket Keeper,rajasthan-royals,2013,1160000
Jaydev Unadkat,Bowler,royal-challengers-bangalore,2013,30450000
RP Singh,Bowler,royal-challengers-bangalore,2013,23200000
Moises Henriques,All-Rounder,royal-challengers-bangalore,2013,17400000
Ravi Rampaul,Bowler,royal-challengers-bangalore,2013,16820000
Pankaj Singh,Bowler,royal-challengers-bangalore,2013,8700000
Daniel Christian,All-Rounder,royal-challengers-bangalore,2013,5800000
Christopher Barnwell,All-Rounder,royal-challengers-bangalore,2013,2900000
Thisara Perera,All-Rounder,sunrisers-hyderabad,2013,39150000
Daren Sammy,All-Rounder,sunrisers-hyderabad,2013,24650000
Sudeep Tyagi,Bowler,sunrisers-hyderabad,2013,5800000
Clinton McKay,Bowler,sunrisers-hyderabad,2013,5800000
Nathan McCullum,Bowler,sunrisers-hyderabad,2013,5800000
Quinton De Kock,Wicket Keeper,sunrisers-hyderabad,2013,1160000
Faf Du Plessis,Batsman,chennai-super-kings,2014,47500000
Dwayne Smith,Batsman,chennai-super-kings,2014,45000000
Brendon McCullum,Wicket Keeper,chennai-super-kings,2014,32500000
Ashish Nehra,Bowler,chennai-super-kings,2014,20000000
Mohit Sharma,Bowler,chennai-super-kings,2014,20000000
Ishwar Chandra Pandey,Bowler,chennai-super-kings,2014,15000000
Ben Hilfenhaus,Bowler,chennai-super-kings,2014,10000000
John Hastings,All-Rounder,chennai-super-kings,2014,5000000
Samuel Badree,Bowler,chennai-super-kings,2014,3000000
Matt Henry,Bowler,chennai-super-kings,2014,3000000
Mithun Manhas,All-Rounder,chennai-super-kings,2014,3000000
Vijay Shankar,All-Rounder,chennai-super-kings,2014,1000000
Ronit More,Bowler,chennai-super-kings,2014,1000000
Baba Aparajith,Batsman,chennai-super-kings,2014,1000000
Pawan Negi,Bowler,chennai-super-kings,2014,1000000
Dinesh Karthik,Wicket Keeper,delhi-capitals,2014,125000000
Kevin Pietersen,Batsman,delhi-capitals,2014,90000000
Murali Vijay,Batsman,delhi-capitals,2014,50000000
Mohammad Shami,Bowler,delhi-capitals,2014,42500000
Nathan Coulter-Nile,Bowler,delhi-capitals,2014,42500000
Quinton De Kock,Wicket Keeper,delhi-capitals,2014,35000000
Manoj Tiwary,Batsman,delhi-capitals,2014,28000000
Jaydev Unadkat,Bowler,delhi-capitals,2014,28000000
Jean-Paul Duminy,Batsman,delhi-capitals,2014,22000000
Ross Taylor,Batsman,delhi-capitals,2014,20000000
Kedar Jadhav,Batsman,delhi-capitals,2014,20000000
Rahul Sharma,Bowler,delhi-capitals,2014,19000000
Mayank Agarwal,Batsman,delhi-capitals,2014,16000000
Laxmi Ratan Shukla,All-Rounder,delhi-capitals,2014,15000000
James Neesham,All-Rounder,delhi-capitals,2014,10000000
Wayne Parnell,Bowler,delhi-capitals,2014,10000000
Shahbaz Nadeem,Bowler,delhi-capitals,2014,8500000
Saurabh Tiwary,Batsman,delhi-capitals,2014,7000000
Siddarth Kaul,Bowler,delhi-capitals,2014,4500000
Rahul Shukla,Bowler,delhi-capitals,2014,4000000
Jayant Yadav,All-Rounder,delhi-capitals,2014,1000000
HS Sharath,Bowler,delhi-capitals,2014,1000000
Milind Kumar,Batsman,delhi-capitals,2014,1000000
Mitchell Johnson,All-Rounder,punjab-kings,2014,65000000
Glenn Maxwell,All-Rounder,punjab-kings,2014,60000000
George Bailey,Batsman,punjab-kings,2014,32500000
Virender Sehwag,Batsman,punjab-kings,2014,32000000
Rishi Dhawan,All-Rounder,punjab-kings,2014,30000000
Wriddhiman Saha,Wicket Keeper,punjab-kings,2014,22000000
Shaun Marsh,Batsman,punjab-kings,2014,22000000
Cheteshwar Pujara,Batsman,punjab-kings,2014,19000000
Beuran Hendricks,Bowler,punjab-kings,2014,18000000
Lakshmipathy Balaji,Bowler,punjab-kings,2014,18000000
Thisara Perera,All-Rounder,punjab-kings,2014,16000000
Gurkirat Singh Mann,Batsman,punjab-kings,2014,13000000
Murali Kartik,Bowler,punjab-kings,2014,10000000
Sandeep Sharma,Bowler,punjab-kings,2014,8500000
Mandeep Hardev Singh,All-Rounder,punjab-kings,2014,8000000
Akshar Rajesh Patel,All-Rounder,punjab-kings,2014,7500000
Parvinder Awana,Bowler,punjab-kings,2014,6500000
Shardul Narendra Thakur,Bowler,punjab-kings,2014,2000000
Anureet Singh,Bowler,punjab-kings,2014,2000000
Shivam Sharma,Bowler,punjab-kings,2014,1000000
Karanveer Singh,All-Rounder,punjab-kings,2014,1000000
Jacques Kallis,All-Rounder,kolkata-knight-riders,2014,55000000
Robin Uthappa,Batsman,kolkata-knight-riders,2014,50000000
Piyush Chawla,Bowler,kolkata-knight-riders,2014,42500000
Yusuf Pathan,All-Rounder,kolkata-knight-riders,2014,32500000
Shakib Al Hasan,All-Rounder,kolkata-knight-riders,2014,28000000
Morne Morkel,Bowler,kolkata-knight-riders,2014,28000000
Vinay Kumar,Bowler,kolkata-knight-riders,2014,28000000
Umesh Yadav,Bowler,kolkata-knight-riders,2014,26000000
Manish Pandey,Batsman,kolkata-knight-riders,2014,17000000
Chris Lynn,Batsman,kolkata-knight-riders,2014,13000000
Patrick Cummins,Bowler,kolkata-knight-riders,2014,10000000
Ryan Ten Doeschate,All-Rounder,kolkata-knight-riders,2014,10000000
Suryakumar Yadav,Batsman,kolkata-knight-riders,2014,7000000
Andre Russell,All-Rounder,kolkata-knight-riders,2014,6000000
Manvinder Bisla,Wicket Keeper,kolkata-knight-riders,2014,6000000
Veer Pratap Singh,Bowler,kolkata-knight-riders,2014,4000000
Kuldeep Yadav,Bowler,kolkata-knight-riders,2014,4000000
Debabrata Das,Wicket Keeper,kolkata-knight-riders,2014,2000000
Sayan Sekhar Mandal,All-Rounder,kolkata-knight-riders,2014,1000000
Michael Hussey,Batsman,mumbai-indians,2014,50000000
Corey Anderson,All-Rounder,mumbai-indians,2014,45000000
Pragyan Ojha,Bowler,mumbai-indians,2014,32500000
Zaheer Khan,Bowler,mumbai-indians,2014,26000000
Aditya Tare,Wicket Keeper,mumbai-indians,2014,16000000
Jasprit Bumrah,Bowler,mumbai-indians,2014,12000000
Jalaj Saxena,All-Rounder,mumbai-indians,2014,9000000
Josh Hazlewood,Bowler,mumbai-indians,2014,5000000
Marchant De Lange,Bowler,mumbai-indians,2014,3000000
Krismar Santokie,Bowler,mumbai-indians,2014,3000000
Ben Dunk,Wicket Keeper,mumbai-indians,2014,2000000
C.M. Gautam,Wicket Keeper,mumbai-indians,2014,2000000
Apoorv Vijay Wankhade,Batsman,mumbai-indians,2014,1000000
Pawan Suyal,Bowler,mumbai-indians,2014,1000000
Sushant Marathe,Wicket Keeper,mumbai-indians,2014,1000000
Shreyas Gopal,Bowler,mumbai-indians,2014,1000000
Steven Smith,All-Rounder,rajasthan-royals,2014,40000000
Brad Hodge,Batsman,rajasthan-royals,2014,24000000
Rajat Bhatia,All-Rounder,rajasthan-royals,2014,17000000
Tim Southee,Bowler,rajasthan-royals,2014,12000000
Dhawal Kulkarni,Bowler,rajasthan-royals,2014,11000000
Abhishek Nayar,All-Rounder,rajasthan-royals,2014,10000000
